time,type,trajectory,validation
10.7,car,"[[294,117,164.5,77,null],[327.25,117.125,149.5,71.5,null],[362,118.5,135.5,65.75,null]]",True
11.7,truck,"[[214.25,76.375,176.5,86.5,null],[239.375,77.5,174.625,81.25,null],[264.5,81.75,159,76.375,null],[289,88.5,152.5,67,null],[312.75,88.875,143,64.875,null],[332,88.5625,134,65.6875,null],[351,89,127.5,63.25,null],[368.75,91.25,120.5,58.875,null],[387.75,90.5,113,59.5,null]]",True
0.1,car,"[[232.875,85.4375,81.125,29.125,null],[232.75,85.375,81.5,29.25,null],[235.125,85.75,78.875,28.5,null],[235.5,85.375,79,28.75,null],[236,85.5,78.5,28.625,null],[234.625,84.5625,78.375,29.5,null],[235.625,83.75,81.125,29.875,null],[235.75,85.1875,80.5,29,null],[230.75,84.5625,82,30,null],[235.5,85.3125,77.5,30,null],[233.875,85.5,78.125,29.25,null],[234.75,85.0625,79,29.875,null],[235.5,85.1875,78,29.5,null],[235.875,84.8125,78.625,29.875,null],[236.5,84.9375,82,29.75,null],[236.5,85.0625,82,29.5,null],[235.5,85.75,81,28.625,null],[232.875,85.6875,80.875,28.875,null],[235.75,85.5625,80.5,28.75,null],[232.5,85.75,79.5,28.375,null],[232.25,85.75,79.5,28.375,null],[231.25,85.75,80,28.5,null],[234,86.125,78.5,28.25,null],[230.875,85.375,80.625,29.125,null],[229.5,85.5,80.5,28.875,null],[230,85.25,80.5,29.25,null],[230.625,84.8125,80.875,29.875,null],[229.625,84.8125,81.125,29.375,null],[232.25,84.8125,79.5,30.375,null],[228.5,85.6875,80,30,null],[230.5,85.125,79.5,30.5,null],[230.125,84.625,80.875,31.375,null],[230.75,85.0625,80,31.125,null],[231.25,85.1875,80,30.625,null],[231.375,85.625,80.125,29.625,null],[231.375,85.5,80.125,29.75,null],[231.25,85.625,80,29.5,null],[230.5,85.5,80.5,29.625,null],[231,85.25,80.5,29.75,null],[230.75,85.9375,80,29.375,null],[230.625,85.9375,79.625,29.25,null],[230,85.875,80.5,29.125,null],[231,85.9375,80,28.875,null],[229.75,85.625,80.5,29.25,null],[230.75,85,80,31,null],[230.5,85,80,31.125,null],[229.5,85,80.5,31.125,null],[232.625,84.5625,80.375,31.125,null],[230.5,84.75,80.5,31.125,null],[231,85,81,29.5,null],[231.25,84.625,81,29.75,null],[231.25,84.6875,81,29.875,null],[231.25,84.4375,81.5,30,null],[230.75,85.125,81,29.375,null],[231.25,86.625,79,28.125,null],[232,86.1875,80,28.375,null],[231,86.625,79.5,28.125,null],[233,86.1875,80,28.5,null],[233,86.1875,80,28.5,null],[235.5,85,81,29.375,null],[235,85.5,80.5,28.5,null],[235.25,85.1875,82,29,null],[234.5,85.9375,80,27.875,null],[234,84.75,85,29,null],[229.75,81.25,105.5,33.75,null],[230.375,83.5,98.125,30.875,null],[232.625,85.25,84.125,28.875,null],[230.625,84.3125,89.375,30,null],[229.75,83.875,94,30.75,null],[230.75,85.875,79.5,28.875,null],[230.5,85.3125,81.5,29.625,null],[231.125,85.25,80.375,29.75,null],[230.875,85,80.875,30,null],[231.875,84.5625,81.125,30.25,null],[231,85.375,83,29.375,null],[231,85.5,82.5,29.25,null],[231.875,85.3125,83.125,29,null],[231.875,85.8125,81.875,28.5,null],[230.125,83.1875,96.875,31.375,null],[232.375,83.125,83.625,32,null],[231.5,84,79.5,31.25,null],[231.5,84.875,79,30.25,null],[231.375,84.875,78.625,30.25,null],[231.375,84.75,78.625,30.375,null],[231.625,86.0625,79.375,28.375,null],[232,85.8125,79.5,28.625,null],[231.75,85.75,79.5,28.75,null],[231.25,85.6875,80,28.875,null],[231.75,85.9375,79.5,28.625,null],[231.25,85.9375,79,29.375,null],[231.25,86,79,29.25,null],[230.5,86.1875,80,28.875,null],[230.5,86.1875,80,28.625,null],[230.5,86.125,80,28.75,null],[229.75,85.3125,81,29.5,null],[230.25,85.3125,81,29.625,null],[231.5,85.125,80.5,29.75,null],[231.5,85.375,80.5,29.375,null],[231.5,85.5,80,29.25,null],[231.75,85.5,79.5,29.125,null],[232.5,85.3125,81,29,null],[231.75,80.75,104,34.25,null],[230.5,82.5,98,31.25,null],[234.75,86.125,79,27.5,null],[232,85.5,79.5,28.5,null],[235.25,85.5625,79,27.875,null],[233.5,85.125,80,29.625,null],[231.875,86.5625,79.625,28.125,null],[229.25,85.25,80.5,30,null],[229.125,85.375,79.625,30,null],[229.875,85.25,80.125,29.75,null],[228.5,84.4375,81.5,30.625,null],[227.125,84.125,83.875,30.5,null],[226,84.625,83.5,31.25,null],[225.625,83.9375,82.875,31.875,null],[226,84.25,81.5,31.375,null],[227,84.125,80.5,31.375,null],[350.25,105.125,155,79,null]]",True
14.4,car,"[[302.5,87.625,140.5,65.875,null],[326.5,85.9375,138.5,69.3125,null],[349.75,88.5,127.5,65.25,null],[371.25,92.625,120,57.5,null]]",True
15.1,car,"[[252.75,97.3125,203.5,99.4375,null],[285.25,96.9375,188,92.3125,null],[315.5,98.4375,175,90.0625,null],[241.5,103.5625,110,53.6875,null],[271.75,99.1875,106.5,56.3125,null],[303,98.25,97.5,56.125,null],[328,99.375,94.5,52.625,null],[352.5,100.75,87,49.75,null],[375.25,104.125,82,44,null],[396.5,104.9375,78,44.3125,null]]",
17.3,car,"[[255.375,98.9375,143.625,58.8125,null],[291,98.25,128.5,57.375,null],[322.5,99.3125,117,53.5625,null],[350.25,102.75,107.5,48.5,null],[375,104.9375,100,44.8125,null]]",True
19.0,truck,"[[377.5,97,144,79,null],[400.75,100.875,136.25,70.25,null]]",
19.6,car,"[[248.625,102.0625,138.875,55.5625,null],[277.5,100.5,131,55.5,null],[309.5,99.875,121,54,null],[339.5,101.875,109.5,48.75,null]]",
15.8,car,"[[227.5,86.0625,76.5,28.375,null],[227.875,86.1875,76.875,28.125,null],[228.25,85.25,80.5,29.25,null],[228.25,85.1875,80.5,29.125,null],[227.625,84.9375,80.875,29.375,null],[227.75,85,81,29.25,null],[227.125,84.8125,81.125,29.625,null],[227.625,85.1875,80.875,29.375,null],[227.25,85.8125,80.5,28.625,null],[226.75,85.8125,81,28.625,null],[227.25,85.6875,80.5,28.75,null],[227.25,85.8125,80.5,28.5,null],[227.625,84.5,81.125,30,null],[228.5,85.1875,80,29.875,null],[227.5,85.5,80,29.125,null],[228.5,84.875,79.5,29.625,null],[230.75,85,79.5,30,null],[227.5,84.4375,81,30.375,null],[227.375,84.75,81.875,29.75,null],[224.625,83.5,79.625,30.75,null],[222.625,83,79.625,30.625,null],[223.75,82.5,80.5,29.875,null],[226.5,82.375,81,32,null],[222.5,82.75,81.5,31.375,null],[226.625,85.3125,79.625,29.875,null],[224.625,85.6875,79.625,28.875,null],[225,86.1875,80,28.25,null],[223.75,85.6875,80.5,28.875,null],[224.5,85.75,80.5,28.75,null],[223.25,85.625,80.5,29,null],[223,85.375,80,29.25,null],[222.75,85.125,80,29.125,null],[222.625,85.4375,80.875,28.875,null],[223.25,85.5625,80.5,28.625,null],[223.5,85.4375,80.5,28.375,null],[222.25,85.6875,81,28.75,null],[221.75,85.125,80.5,29.25,null]]",
21.7,car,"[[252.25,94.5,141,66.625,null],[281,93.25,135.5,65.125,null],[308.25,93.25,126,62.625,null],[333.25,96.625,113.5,57.375,null],[355.25,97.4375,109,56.0625,null],[379,99,100.5,52.75,null],[399,99.8125,94,52.4375,null]]",
